,1,2,3,4,5,6,7,8,9,10
245,60.8,90.9,143.9,167.5,180.1,252.5,159.4,151.1,85.1,77.7
246,14.3,17.1,24.1,44.3,41.5,59.7,40.4,114.2,37.9,62.7
247,179.9,272.4,489.9,465.5,472.3,790.6,385.2,298.9,185.5,208.9
248,1.1,5.7,3.7,2.3,0.5,7.5,0,0,0,0
249,0,0,0,0,0,0,0,0.2,0.1,0.1
250,87.2,100.3,141.3,151.1,121.8,212.4,110,162,139.8,162.7
251,0,0,0,0,0,0,0,0,0.1,5.3
252,13.2,13.2,18.2,17.7,13.6,17.3,10.8,15.8,28.7,35.2
253,0,0,0,0,0.5,0,0,0,0,0
254,27.2,32.1,72.8,64,74.7,72.3,109.8,175,96.9,131.1
255,1.5,1.5,0.2,6.4,5.1,23.4,33.6,20.2,4.9,8
256,14.9,27.4,36.3,35.8,31.3,75,25.1,25.6,85.4,60.3
257,0.3,2.9,1,4.3,9.3,1.8,4.9,28.2,1.5,50.8
258,93.6,126,202.5,211.2,244.9,348,206.9,283,106.8,113.3
259,92.2,162.7,212.9,224.2,184.2,328,307.1,116.2,46.7,56.3
260,214.6,295.3,407.2,413.9,358.5,372.3,324.4,424.6,416.7,565.1
261,652.5,871.8,1845.7,1725.9,2779.1,3934.5,839.2,1039.4,647.9,834.7
262,0,0,0,0,0,0,0,0,0,0
263,236.3,290.5,489.7,520,741.1,954.7,696.4,955.3,441.5,593.4
264,12.2,14.5,26.4,46.8,66,90.2,80.8,50.7,43.4,39.3
265,0,0,0,0,0,0.1,0,0,0,0
266,66.1,59.9,104.5,101,98.7,97,183.4,270.1,60.1,155.6
267,53.7,58.7,84.6,94.8,93.8,98.9,67.8,117.9,146.6,148.7
268,25.7,37.6,102.4,134,248.7,97.9,18.7,44.7,101.9,50.3
269,512.9,637.9,1036.5,1164.9,1441.5,1819.4,703.4,669.3,324,537.1
270,0.6,2,6.3,3.6,1.1,13.9,15.9,0.6,0,0.4
271,43.1,108.9,172.2,149.1,135,202.1,119.3,194.2,131.5,63.1
272,23.5,8.1,18.3,36.1,30.1,77.4,38.3,21.5,99.8,44.5
273,11.7,25,62.4,54.9,92.3,109.3,95.7,72.9,24.7,95.7
274,185.9,350.2,639.5,508.7,581.9,819,480.3,411.7,330.9,398.8
275,1,0,0,0,0,0,0,0.3,0.6,0.5
276,292.9,370.2,586.3,628.8,551.3,963.3,1288.9,1249.6,1128.8,1060.6
277,6.5,7.1,14.1,14.5,7.5,16.9,10.7,18.4,16.2,29.7
278,53.9,127,123.7,96.8,118.3,166.7,113,125.5,37.4,68.7
279,10.5,8.1,8.7,6.2,33.1,40.6,3.3,2.4,24.6,14.8
280,1.2,4.4,0.3,1.5,5.2,31.2,16.8,0.7,5.8,10.6
281,0.3,0.5,1,3.1,15.2,10.5,4.7,5.5,11.9,28.4
282,0,0,0,0,0,0,0,0,0,0
283,0,0.1,1.3,0.2,0,1.2,5.9,7,11.3,7.5
284,7.9,4.4,0.6,13.1,1.9,4.8,17.4,1.3,6.4,4.9
285,73.1,75.3,131.7,133.7,165.7,88.8,62.7,95.9,115.7,65
286,0,0,7.9,0,0.2,7.8,6.5,0,0.8,0
287,26.8,42.4,52.1,56.7,28.8,40.7,24.3,61.1,56.4,29.2
288,76.9,79.6,148.9,173.5,175,243.6,53.2,124.1,65.3,77.9
289,122.2,148.9,312.6,300.4,174.9,572.2,193.5,308.6,194.6,140.9
290,77.1,80.8,145,102.5,143.2,135.1,22.8,3.3,14.8,1
291,4.8,2.5,1.6,5.4,1.6,2.3,4.1,1.1,2.8,0.2
292,30,33.5,52.2,44.9,35.8,48.6,24.4,44.8,77.7,79.5
293,0.1,0.7,0,0.1,0,0,0,0,0,0
294,454.8,407.3,545.1,509.9,1104.8,1446.2,363.1,654.6,395.3,593.7
295,0,0,0,0,0,0,0,0.1,0,0
296,0.8,1.2,0.5,3,9.5,0.8,0.1,0.4,0.1,0.5
297,0,0,0,0,0,0,0,0,0,0
